,102,104,105,106,107,10,110,112,113,114,116,118,11,120,121,122,123,124,125,126,127,129,130,131,132,133,134,140,141,142,14,150,151,153,154,157,159,15,160,161,162,163,164,165,16,170,171,172,173,174,175,176,177,179,17,180,181,183,184,185,186,187,18,193,194,196,197,198,199,19,1,200,203,206,207,208,209,20,211,214,218,222,224,225,226,227,229,22,232,234,239,23,242,243,244,245,247,24,252,254,255,258,259,260,261,262,264,267,268,26,272,276,277,278,279,27,282,283,284,285,286,289,28,291,292,293,294,296,299,29,300,302,304,306,308,309,30,311,312,314,315,316,317,318,319,31,320,321,322,324,327,328,329,32,331,333,334,335,336,337,33,340,342,343,344,345,346,347,350,354,355,357,358,35,361,362,363,366,368,369,36,370,371,372,375,376,378,379,38,39,40,41,42,43,45,47,48,50,53,54,59,61,65,66,67,68,69,6,70,71,76,78,79,7,80,84,85,86,87,88,89,92,93,94,95,96,97,99,9
AA4,3,3,1,4,2,4,1,0,2,0,7,1,2,1,1,0,0,1,2,0,3,4,3,5,0,0,0,0,0,3,1,7,1,2,2,0,1,6,0,3,2,1,2,3,2,2,2,2,0,0,0,3,3,0,0,0,0,1,2,4,0,0,4,1,1,1,0,1,1,6,1,0,3,3,0,1,1,2,1,1,1,4,3,3,2,0,2,6,1,0,0,2,0,2,1,1,2,2,2,1,1,0,0,2,0,0,0,2,1,1,1,2,0,0,2,8,2,2,0,2,1,1,2,2,1,1,0,0,0,5,0,2,1,5,0,1,4,1,0,1,1,0,3,0,0,5,0,1,3,6,3,0,0,1,1,1,1,3,0,1,3,0,1,1,0,3,1,0,3,1,2,0,1,2,0,2,0,1,0,0,0,3,1,1,5,6,1,0,0,1,1,3,4,0,1,1,2,1,4,1,0,0,2,1,1,3,2,0,4,1,2,1,0,0,1,4,3,3,1,3,3,4,2,3,3,1,0,0,0
GT22,4,3,3,3,3,4,3,4,4,4,4,2,4,3,0,0,0,4,2,1,3,5,3,3,3,3,4,2,0,3,3,4,1,3,1,0,4,3,3,4,4,3,0,4,4,3,4,2,0,3,1,3,2,1,1,2,1,4,4,4,0,4,3,3,1,2,1,3,3,3,3,4,3,3,2,4,3,3,3,1,2,2,4,3,1,1,4,3,2,2,0,3,3,1,0,3,2,4,3,2,3,0,3,2,4,4,0,1,3,4,4,4,2,0,3,4,3,3,4,4,3,1,4,1,3,4,1,3,0,4,1,3,2,4,0,2,4,1,0,2,1,3,4,0,4,4,1,2,4,4,3,4,0,4,2,3,4,4,1,4,3,0,3,0,0,3,0,0,4,4,0,1,0,3,0,3,2,0,3,0,1,3,2,2,3,4,1,2,4,1,2,4,4,0,4,4,4,4,3,3,0,1,3,4,4,4,4,1,4,3,3,4,1,0,2,4,3,3,0,2,3,4,2,3,2,4,0,2,3
GT1,3,2,3,1,2,3,7,3,3,7,1,5,9,7,0,0,1,3,2,1,1,6,1,8,3,3,3,3,0,3,5,2,1,4,2,0,7,3,7,7,6,8,0,10,1,8,8,1,1,4,2,8,1,6,1,0,6,3,7,3,1,3,3,5,3,4,0,5,2,3,3,5,5,5,0,3,3,4,4,5,2,4,9,4,2,0,3,3,1,2,1,4,2,1,5,3,2,6,3,1,4,3,4,3,1,3,0,1,3,3,0,2,2,1,2,2,2,2,1,5,1,0,2,0,3,6,2,5,1,4,1,3,5,5,1,1,5,2,0,2,1,7,2,3,2,2,0,2,4,5,2,4,0,3,2,2,3,3,1,4,2,0,1,0,0,4,0,0,5,4,2,0,0,2,0,2,1,0,0,0,1,5,4,5,1,8,1,1,1,1,1,1,3,1,4,2,2,2,1,1,0,0,0,6,2,4,3,0,3,2,2,9,2,1,1,1,2,2,1,2,4,4,2,2,2,1,0,1,1
GH13,11,4,4,7,4,12,8,4,15,7,16,8,6,7,0,3,4,4,5,3,15,20,16,8,4,4,4,2,0,6,7,16,5,7,5,1,7,7,6,7,6,8,7,6,6,6,5,15,0,7,3,8,10,9,1,6,4,5,8,12,1,5,13,7,6,5,3,9,4,5,3,1,7,7,3,6,6,6,7,8,4,14,9,4,2,3,16,7,3,12,1,9,6,5,6,7,3,12,4,1,5,7,9,4,3,3,0,3,4,4,8,13,4,5,13,12,10,11,11,9,5,7,5,3,7,5,1,6,1,13,4,4,3,12,1,2,8,2,0,2,0,6,7,6,5,14,5,11,17,6,9,5,0,11,4,6,6,7,1,7,3,0,1,2,0,13,0,0,11,6,7,0,0,9,0,3,5,3,11,2,1,9,4,5,13,9,3,3,7,1,3,4,7,5,5,5,3,5,8,8,2,4,11,9,13,15,14,3,9,7,7,7,3,5,10,10,9,7,4,4,11,11,4,3,5,5,1,7,1
GT5,3,0,0,2,0,4,0,0,4,0,5,0,0,0,0,1,1,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,4,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,4,1,1,1,0,0,4,0,0,2,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,3,1,2,7,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,2,4,5,4,0,2,1,2,0,0,1,1,1,2,2,0,0,3,3,0,0,0,0,0,0,0
GH5,16,19,10,7,19,16,19,11,12,18,12,14,19,13,2,3,1,8,21,8,14,33,14,20,11,11,11,8,1,14,11,11,9,17,12,2,23,14,18,21,16,18,2,20,13,21,18,13,1,11,12,21,10,16,7,9,13,11,21,18,6,10,17,10,11,9,3,19,7,14,6,9,24,24,9,11,11,11,10,13,7,18,23,11,9,12,29,14,9,14,5,20,11,7,18,20,16,17,13,12,16,16,13,19,4,4,3,15,16,13,21,26,17,9,21,18,20,23,14,19,25,8,9,19,8,18,12,18,3,12,4,15,10,16,3,12,21,14,1,16,11,10,19,13,5,23,7,13,15,16,9,5,2,18,8,8,9,10,6,19,18,2,12,11,1,16,5,1,13,9,4,7,8,7,4,18,15,13,12,6,1,22,10,10,18,17,8,14,15,11,18,19,20,5,8,8,17,8,9,5,5,3,11,17,14,12,16,5,12,11,9,9,2,12,8,9,9,9,10,18,18,18,19,17,16,10,0,9,7
GT20,3,3,3,3,3,5,3,4,5,3,5,2,3,3,0,1,1,4,3,2,5,6,5,3,4,4,4,4,0,3,3,4,1,2,1,0,3,3,3,3,3,3,1,3,3,3,3,2,0,4,2,3,3,1,0,4,3,4,3,3,2,4,3,5,3,1,1,3,1,3,4,8,3,3,2,4,4,4,4,3,4,3,3,4,4,3,3,3,3,0,2,3,4,1,3,3,2,3,3,3,3,3,3,3,3,3,0,2,2,2,3,3,3,2,3,3,3,3,3,3,2,1,3,2,3,3,1,3,0,5,2,3,4,3,0,2,3,2,3,3,2,3,3,3,3,5,4,3,5,3,3,3,1,3,4,4,4,4,3,3,3,0,2,1,0,3,0,0,5,4,2,0,0,3,1,3,0,2,0,0,0,3,4,4,3,3,2,2,3,3,2,3,3,1,4,4,3,4,3,3,0,1,3,3,6,5,6,2,3,3,3,3,1,1,3,4,3,3,1,3,3,3,3,3,3,3,1,2,1
PL4,2,3,0,1,4,1,3,0,2,4,1,3,5,3,0,0,0,0,4,0,1,6,1,5,0,0,0,0,0,4,0,1,1,3,1,0,5,4,4,5,5,4,0,5,2,5,5,0,1,0,2,5,0,4,1,0,5,0,5,3,0,0,3,0,0,3,0,3,0,4,0,0,5,5,0,0,0,0,0,0,0,1,3,0,0,1,4,4,0,0,0,5,0,0,4,4,3,4,3,3,4,2,2,3,0,0,1,4,4,2,4,4,4,2,4,2,4,4,4,3,3,0,0,1,1,4,0,4,0,1,0,5,0,3,0,1,7,3,0,3,1,1,6,1,0,3,0,1,2,5,1,0,0,4,0,0,0,0,0,3,4,0,2,2,0,3,1,0,2,0,0,2,1,1,2,5,2,2,0,0,1,4,0,0,1,4,1,0,5,1,3,4,3,0,0,0,5,0,1,1,0,0,1,2,2,1,2,0,2,2,1,0,0,0,0,1,1,1,3,5,3,3,4,4,5,3,1,1,0
GH3,14,14,17,9,14,26,20,14,15,16,18,16,34,20,0,6,8,13,15,13,23,31,23,32,13,13,14,12,0,10,14,18,9,19,7,5,18,8,17,34,18,28,4,34,9,34,32,16,3,13,16,34,16,18,3,9,16,14,34,15,2,14,16,16,13,12,3,19,11,8,11,4,15,15,11,14,14,14,13,13,12,21,31,14,9,3,22,8,6,7,7,15,14,3,15,15,12,14,11,11,20,13,16,16,8,8,0,10,18,11,16,20,12,5,18,14,15,20,14,20,12,11,6,7,8,20,10,14,4,30,5,15,13,15,0,8,17,10,8,11,5,10,17,11,9,23,3,15,20,35,9,9,0,14,13,12,14,16,5,22,15,0,7,4,0,16,4,0,22,14,9,2,3,9,1,17,8,5,5,2,1,15,15,15,10,33,9,5,11,6,12,15,20,5,10,10,17,10,11,8,4,7,10,16,19,14,20,9,12,13,9,4,7,3,9,10,9,9,7,15,15,15,14,12,15,9,3,11,8
GH6,3,2,1,3,2,1,1,1,1,3,1,0,4,1,0,0,0,1,2,0,1,2,1,4,1,1,1,1,0,1,1,1,0,0,0,1,4,1,3,4,4,3,0,4,1,4,5,1,1,1,3,4,0,3,0,1,3,1,4,3,0,1,3,1,0,1,0,1,1,1,1,0,3,3,1,1,1,1,0,0,1,1,1,0,0,2,1,1,1,0,0,3,1,1,3,3,2,3,2,2,3,1,4,2,0,0,0,1,3,2,3,3,2,2,3,4,3,2,3,1,1,0,3,0,3,4,1,3,0,1,0,2,1,3,0,1,4,2,0,2,2,1,3,3,0,2,0,4,1,2,3,0,2,3,1,1,1,1,1,4,2,0,2,2,0,3,0,0,1,1,0,2,0,3,1,3,2,0,0,1,1,3,1,1,4,5,1,0,3,0,2,2,1,2,0,0,3,0,3,2,0,0,3,4,1,1,1,0,5,4,3,0,0,2,2,1,3,3,2,3,3,3,2,2,3,2,0,3,0
