,actual_coverage,# contigs,pooled_library,N50,L50,BGC_count,Complete BUSCOS (%),dataset,BGC total length (Mbp),Assembly length (Mbp)
119,8.149878888839147,17408.0,1,1772.0,4573.0,15.0,67.76,ELF,0.1-0.5,25.442329
120,7.388686178898076,9294.0,1,777.0,3368.0,0.0,1.75,ELF,<0.1,7.259139
121,9.67343320547072,10739.0,1,803.0,3853.0,0.0,7.62,ELF,<0.1,8.585778
122,15.34025276183006,8929.0,1,743.0,3321.0,0.0,2.82,ELF,<0.1,6.721268
123,29.333209937193782,6183.0,1,7346.0,1280.0,25.0,92.91,ELF,0.1-0.5,29.806443
124,18.68832191624498,17625.0,1,3043.0,3824.0,43.0,83.23,ELF,0.1-0.5,37.374094
125,9.245227314168442,16866.0,1,915.0,5684.0,0.0,13.72,ELF,<0.1,14.960968
126,20.385685609287194,7270.0,1,6712.0,1480.0,87.0,94.66,ELF,0.5-1,31.964532
127,10.377757290928828,16690.0,1,1294.0,4821.0,6.0,,ELF,<0.1,19.149412
128,15.020893627287709,20783.0,1,5196.0,1927.0,38.0,96.27,ELF,0.1-0.5,53.696995
129,23.70860906940011,9878.0,1,4444.0,2168.0,69.0,93.22,ELF,0.5-1,31.126535
130,12.089039633582892,19179.0,1,3027.0,4391.0,42.0,85.44,ELF,0.1-0.5,42.529892
131,16.39665091260681,13915.0,1,3078.0,3072.0,32.0,84.07,ELF,0.1-0.5,30.865483
132,15.396372488471771,13408.0,1,3311.0,2952.0,30.0,83.69,ELF,0.1-0.5,31.647315
133,17.446599287475713,13164.0,1,3382.0,2835.0,31.0,86.13,ELF,0.1-0.5,31.339844
134,16.130469526362997,16505.0,1,1732.0,4243.0,5.0,,ELF,<0.1,23.500001
135,8.246478409773127,17017.0,1,1565.0,4526.0,1.0,,ELF,<0.1,22.381863
138,78.85472699137867,184.0,1,570.0,82.0,0.0,,ELF,<0.1,0.108568
139,11.188609573546211,16324.0,1,2003.0,3988.0,11.0,57.93,ELF,<0.1,26.025821
140,10.17923831467738,23057.0,1,787.0,8292.0,0.0,3.43,ELF,<0.1,18.190084
141,9.34645593454843,16888.0,1,2405.0,3836.0,13.0,66.84,ELF,0.1-0.5,30.567212
147,123.85696349521659,4634.0,2,1876.0,801.0,1.0,0.3,ELF,<0.1,6.78596
148,96.02274676400533,1731.0,2,596.0,736.0,0.0,0.2,ELF,<0.1,1.078571
149,0.0,10279.0,2,4120.0,2350.0,49.0,90.4,ELF,0.5-1,30.673214
150,47.407912552037125,24461.0,2,1080.0,7151.0,3.0,21.8,ELF,<0.1,25.161844
151,48.2239900610485,11936.0,2,715.0,4137.0,0.0,,ELF,<0.1,9.140602
152,59.09482304910197,25952.0,2,2103.0,6216.0,25.0,67.99,ELF,0.1-0.5,43.03595
153,50.36362023305524,30055.0,2,1177.0,8729.0,4.0,17.68,ELF,<0.1,32.563782
155,46.828710297209184,7077.0,2,653.0,2873.0,0.0,1.8,ELF,<0.1,4.743023
156,27.519005480379775,8986.0,2,758.0,3310.0,0.0,5.79,ELF,<0.1,6.88091
158,0.0,18540.0,2,21363.0,485.0,30.0,92.99,ELF,0.5-1,44.778925
159,128.45296430969796,4829.0,2,13234.0,762.0,26.0,90.55,ELF,0.1-0.5,33.009051
160,0.0,12479.0,2,5349.0,2623.0,56.0,91.54,ELF,0.5-1,44.610578
161,48.24070605321765,9362.0,2,7812.0,1752.0,65.0,90.24,ELF,0.5-1,44.852823
162,0.0,20591.0,2,2858.0,4793.0,28.0,78.35,ELF,0.1-0.5,43.465943
163,23.35567451464819,20925.0,2,955.0,6932.0,0.0,10.29,ELF,<0.1,19.164758
164,45.0516179908629,19079.0,2,3274.0,4116.0,45.0,89.79,ELF,0.1-0.5,43.466531
165,304.0288031364118,201.0,2,574.0,82.0,0.0,,ELF,<0.1,0.126514
167,35.0726467920127,4556.0,2,629.0,1889.0,0.0,1.2,ELF,<0.1,2.963104
168,20.661195444343154,31533.0,2,1574.0,8472.0,3.0,,ELF,<0.1,41.989642
169,70.00391064906317,7841.0,2,9407.0,1520.0,76.0,96.72,ELF,0.5-1,45.711082
170,0.0,17571.0,2,3232.0,4036.0,28.0,86.66,ELF,0.1-0.5,41.580244
171,16.229484370851708,19820.0,2,1301.0,5856.0,0.0,35.82,ELF,<0.1,22.870856
172,17.82344263951953,20023.0,2,740.0,7548.0,0.0,3.73,ELF,<0.1,14.960056
173,0.0,13357.0,2,3395.0,2931.0,30.0,87.04,ELF,0.1-0.5,31.968756
174,0.0,28359.0,2,1353.0,8138.0,2.0,35.75,ELF,<0.1,33.540458
175,0.0,10709.0,2,6375.0,2175.0,57.0,94.44,ELF,0.5-1,44.780468
176,0.0,17252.0,2,1648.0,4663.0,10.0,58.38,ELF,<0.1,23.912635
178,0.0,27691.0,2,1178.0,8473.0,3.0,37.96,ELF,<0.1,29.5846
179,29.671485806675474,14032.0,2,1568.0,3846.0,1.0,25.76,ELF,<0.1,18.729967
180,21.207864063406532,22767.0,2,912.0,7707.0,0.0,20.88,ELF,<0.1,20.07995
182,0.0,12919.0,2,3485.0,2834.0,32.0,87.96,ELF,0.1-0.5,32.028348
183,0.0,16695.0,2,3555.0,3810.0,41.0,90.85,ELF,0.1-0.5,42.903276
184,0.0,6646.0,2,7382.0,1322.0,22.0,91.08,ELF,0.1-0.5,31.563899
185,15.162139810846902,19260.0,2,844.0,6798.0,0.0,8.69,ELF,<0.1,15.975842
186,0.0,12080.0,2,3913.0,2571.0,39.0,88.26,ELF,0.1-0.5,32.588471
187,94.70357781174356,3879.0,2,2293.0,612.0,2.0,,ELF,<0.1,6.119886
188,29.890728313050857,8290.0,2,663.0,3327.0,0.0,1.8,ELF,<0.1,5.641077
189,67.76868034576702,2185.0,2,605.0,921.0,0.0,0.6,ELF,<0.1,1.375724
192,0.0,14955.0,2,3177.0,3199.0,35.0,84.53,ELF,0.1-0.5,33.890013
193,0.0,19126.0,2,2015.0,4656.0,25.0,62.73,ELF,0.1-0.5,30.553076
194,140.42849211424613,8089.0,2,1089.0,1488.0,0.0,2.1,ELF,<0.1,9.110226
195,16.403792355727827,30291.0,2,1362.0,8742.0,0.0,23.63,ELF,<0.1,36.292376
196,27.180254347261872,18276.0,2,781.0,6530.0,0.0,3.66,ELF,<0.1,14.44875
197,0.0,19048.0,2,2472.0,4567.0,34.0,83.54,ELF,0.1-0.5,36.301764
198,13.334711973968917,22257.0,2,1418.0,6309.0,0.0,34.38,ELF,<0.1,27.473923
199,0.0,19955.0,2,1867.0,5103.0,1.0,56.33,ELF,<0.1,30.103717
202,80.10770842990257,2876.0,2,23970.0,428.0,23.0,95.2,ELF,0.5-1,33.777579
203,61.87752410534592,3199.0,2,608.0,1361.0,0.0,0.5,ELF,<0.1,2.010861
204,47.62399059913107,1638.0,2,748.0,585.0,0.0,,ELF,<0.1,1.262011
205,50.70487956422337,2202.0,2,30299.0,321.0,21.0,92.15,ELF,0.1-0.5,33.817692
206,16.287780191999314,20544.0,2,1079.0,6429.0,0.0,26.14,ELF,<0.1,20.596011
207,0.0,9044.0,2,5817.0,1845.0,44.0,90.78,ELF,0.5-1,34.556874
208,0.0,15985.0,2,2446.0,3792.0,23.0,75.46,ELF,0.1-0.5,29.729115
210,27.025431536137038,18564.0,2,1949.0,4683.0,17.0,65.32,ELF,0.1-0.5,29.063325
211,171.36865106044863,439.0,2,1838.0,89.0,0.0,,ELF,<0.1,0.588996
213,0.0,19687.0,2,1831.0,5060.0,10.0,60.44,ELF,<0.1,29.412436
214,264.77503422878993,59.0,2,628.0,21.0,0.0,,ELF,<0.1,0.042362
216,58.38321236685833,2338.0,2,658.0,907.0,0.0,0.7,ELF,<0.1,1.612568
217,0.0,17603.0,2,2306.0,4274.0,20.0,61.43,ELF,0.1-0.5,31.417652
